Date	Value
16-10-2020	801.91
15-10-2020	798.56
14-10-2020	797.66
13-10-2020	796.05
09-10-2020	797.25
08-10-2020	795.05
07-10-2020	797.35
06-10-2020	794.34
05-10-2020	790.81
02-10-2020	785.04
01-10-2020	788.15
30-09-2020	784.46
29-09-2020	784.19
28-09-2020	787.15
25-09-2020	788.02
24-09-2020	781.44
23-09-2020	773.40
22-09-2020	772.83
21-09-2020	764.34
17-09-2020	761.54
16-09-2020	760.01
15-09-2020	767.01
14-09-2020	768.34
11-09-2020	764.99
10-09-2020	767.87
09-09-2020	776.65
08-09-2020	773.24
07-09-2020	773.76
04-09-2020	773.71
03-09-2020	771.45
02-09-2020	770.59
01-09-2020	776.46
31-08-2020	779.92
28-08-2020	784.27
27-08-2020	786.91
26-08-2020	784.44
25-08-2020	786.17
24-08-2020	790.88
21-08-2020	785.84
20-08-2020	784.25
19-08-2020	796.23
18-08-2020	803.40
17-08-2020	796.73
14-08-2020	793.32
13-08-2020	792.69
12-08-2020	793.61
11-08-2020	796.58
10-08-2020	784.28
07-08-2020	777.18
06-08-2020	774.82
05-08-2020	767.98
04-08-2020	761.34
03-08-2020	757.06
31-07-2020	754.45
30-07-2020	759.18
29-07-2020	767.82
28-07-2020	768.81
27-07-2020	768.63
24-07-2020	767.17
23-07-2020	769.06
22-07-2020	777.66
21-07-2020	786.04
20-07-2020	787.26
17-07-2020	787.50
15-07-2020	787.87
14-07-2020	788.22
13-07-2020	790.82
10-07-2020	781.74
09-07-2020	786.18
08-07-2020	793.88
07-07-2020	798.79
06-07-2020	801.46
03-07-2020	803.98
02-07-2020	816.29
01-07-2020	821.23
30-06-2020	816.36
26-06-2020	813.25
25-06-2020	820.68
24-06-2020	817.90
23-06-2020	816.02
22-06-2020	817.33
19-06-2020	812.19
18-06-2020	798.53
17-06-2020	779.10
16-06-2020	796.87
15-06-2020	790.73
12-06-2020	784.65
11-06-2020	767.93
10-06-2020	771.96
09-06-2020	769.26
08-06-2020	764.97
05-06-2020	775.58
04-06-2020	769.13
03-06-2020	782.86
02-06-2020	796.46
01-06-2020	806.32
29-05-2020	812.74
28-05-2020	816.47
27-05-2020	802.10
26-05-2020	803.74
25-05-2020	805.75
22-05-2020	806.17
20-05-2020	819.08
19-05-2020	820.65
18-05-2020	823.86
15-05-2020	822.93
14-05-2020	820.38
13-05-2020	821.88
12-05-2020	826.05
11-05-2020	827.65
08-05-2020	836.27
07-05-2020	839.08
06-05-2020	832.84
05-05-2020	838.74
04-05-2020	837.92
30-04-2020	836.62
29-04-2020	850.41
28-04-2020	856.76
27-04-2020	859.95
24-04-2020	858.87
23-04-2020	856.51
22-04-2020	862.06
21-04-2020	856.23
20-04-2020	849.45
17-04-2020	852.52
16-04-2020	859.31
15-04-2020	848.63
14-04-2020	844.57
13-04-2020	839.49
09-04-2020	851.90
08-04-2020	842.05
07-04-2020	853.91
06-04-2020	863.99
03-04-2020	861.89
02-04-2020	863.81
01-04-2020	852.03
31-03-2020	846.30
30-03-2020	835.23
27-03-2020	836.05
26-03-2020	843.96
25-03-2020	847.04
24-03-2020	861.07
23-03-2020	851.01
20-03-2020	867.83
19-03-2020	862.69
18-03-2020	855.09
17-03-2020	850.51
16-03-2020	836.66
13-03-2020	852.06
12-03-2020	835.48
11-03-2020	834.22
10-03-2020	841.06
09-03-2020	828.95
06-03-2020	823.28
05-03-2020	812.19
04-03-2020	809.81
03-03-2020	817.45
02-03-2020	818.32
28-02-2020	816.26
27-02-2020	811.10
26-02-2020	807.96
25-02-2020	810.20
24-02-2020	809.82
21-02-2020	804.74
20-02-2020	797.40
19-02-2020	796.90
18-02-2020	791.95
17-02-2020	792.73
14-02-2020	795.12
13-02-2020	788.33
12-02-2020	792.48
11-02-2020	795.88
10-02-2020	788.80
07-02-2020	779.12
06-02-2020	776.99
05-02-2020	781.78
04-02-2020	790.92
03-02-2020	799.11
31-01-2020	797.96
30-01-2020	788.18
29-01-2020	788.13
28-01-2020	787.86
27-01-2020	776.52
24-01-2020	771.94
23-01-2020	772.12
22-01-2020	770.50
21-01-2020	769.93
20-01-2020	771.38
17-01-2020	773.36
16-01-2020	772.01
15-01-2020	772.29
14-01-2020	777.66
13-01-2020	770.56
10-01-2020	764.69
09-01-2020	766.83
08-01-2020	773.12
07-01-2020	771.82
06-01-2020	758.49
03-01-2020	754.16
02-01-2020	748.74
30-12-2019	744.62
27-12-2019	746.66
26-12-2019	751.04
24-12-2019	754.27
23-12-2019	749.83
20-12-2019	752.60
19-12-2019	752.30
18-12-2019	756.95
17-12-2019	762.83
16-12-2019	766.76
13-12-2019	768.69
12-12-2019	772.93
11-12-2019	778.14
10-12-2019	771.29
09-12-2019	779.04
06-12-2019	784.25
05-12-2019	796.75
04-12-2019	802.44
03-12-2019	804.29
02-12-2019	812.13
29-11-2019	828.25
28-11-2019	806.30
27-11-2019	793.49
26-11-2019	791.16
25-11-2019	795.94
22-11-2019	795.14
21-11-2019	797.17
20-11-2019	782.71
19-11-2019	773.81
18-11-2019	782.82
15-11-2019	801.83
14-11-2019	794.51
13-11-2019	783.72
12-11-2019	756.08
11-11-2019	746.23
08-11-2019	740.23
07-11-2019	743.65
06-11-2019	745.85
05-11-2019	736.66
04-11-2019	735.05
30-10-2019	726.34
29-10-2019	724.37
28-10-2019	725.87
25-10-2019	723.43
24-10-2019	726.15
23-10-2019	726.24
22-10-2019	723.52
21-10-2019	709.71
18-10-2019	713.23
17-10-2019	718.69
16-10-2019	715.48
15-10-2019	712.04
14-10-2019	712.98
11-10-2019	720.61
10-10-2019	724.27
09-10-2019	722.28
08-10-2019	717.05
07-10-2019	715.53
04-10-2019	719.53
03-10-2019	727.80
02-10-2019	729.38
01-10-2019	728.21
30-09-2019	725.68
27-09-2019	726.17
26-09-2019	727.08
25-09-2019	721.92
24-09-2019	722.17
23-09-2019	715.24
17-09-2019	709.81
16-09-2019	707.07
13-09-2019	711.29
12-09-2019	714.39
11-09-2019	714.77
10-09-2019	713.72
09-09-2019	711.22
06-09-2019	717.52
05-09-2019	723.30
04-09-2019	725.69
03-09-2019	724.72
02-09-2019	720.20
30-08-2019	720.65
29-08-2019	724.20
28-08-2019	721.55
27-08-2019	718.75
26-08-2019	716.40
23-08-2019	713.22
22-08-2019	709.52
21-08-2019	710.63
20-08-2019	711.94
19-08-2019	709.26
16-08-2019	710.14
14-08-2019	708.37
13-08-2019	716.69
12-08-2019	712.04
09-08-2019	710.98
08-08-2019	718.55
07-08-2019	716.35
06-08-2019	721.70
05-08-2019	711.13
02-08-2019	704.88
01-08-2019	700.82
31-07-2019	699.98
30-07-2019	697.22
29-07-2019	696.62
26-07-2019	694.16
25-07-2019	691.36
24-07-2019	691.57
23-07-2019	688.28
22-07-2019	685.81
19-07-2019	683.27
18-07-2019	681.69
17-07-2019	679.48
15-07-2019	681.07
12-07-2019	683.38
11-07-2019	685.40
10-07-2019	688.88
09-07-2019	685.83
08-07-2019	683.12
05-07-2019	677.64
04-07-2019	680.48
03-07-2019	681.30
02-07-2019	677.62
01-07-2019	679.15
28-06-2019	679.86
27-06-2019	680.06
26-06-2019	678.32
25-06-2019	682.31
24-06-2019	683.41
21-06-2019	684.19
20-06-2019	693.99
19-06-2019	696.81
18-06-2019	699.52
17-06-2019	698.72
14-06-2019	696.25
13-06-2019	694.89
12-06-2019	693.60
11-06-2019	697.34
10-06-2019	692.28
07-06-2019	692.21
06-06-2019	693.25
05-06-2019	696.78
04-06-2019	704.59
03-06-2019	709.80
31-05-2019	707.86
30-05-2019	708.20
29-05-2019	703.48
28-05-2019	696.46
27-05-2019	694.84
24-05-2019	698.03
23-05-2019	696.70
22-05-2019	697.23
20-05-2019	696.61
17-05-2019	692.79
16-05-2019	692.62
15-05-2019	692.33
14-05-2019	693.04
13-05-2019	685.67
10-05-2019	686.43
09-05-2019	684.51
08-05-2019	683.49
07-05-2019	681.09
06-05-2019	678.68
03-05-2019	683.31
02-05-2019	678.71
30-04-2019	677.67
29-04-2019	673.86
26-04-2019	676.21
25-04-2019	672.83
24-04-2019	668.19
23-04-2019	663.91
22-04-2019	662.27
18-04-2019	660.48
17-04-2019	663.98
16-04-2019	662.86
15-04-2019	660.67
12-04-2019	664.19
11-04-2019	662.92
10-04-2019	663.15
09-04-2019	663.01
08-04-2019	664.17
05-04-2019	666.32
04-04-2019	667.55
03-04-2019	670.05
02-04-2019	672.56
01-04-2019	678.53
29-03-2019	681.09
28-03-2019	683.73
27-03-2019	679.02
26-03-2019	679.08
25-03-2019	676.60
22-03-2019	665.12
21-03-2019	666.13
20-03-2019	664.78
19-03-2019	667.21
18-03-2019	669.39
15-03-2019	670.62
14-03-2019	665.68
13-03-2019	667.09
12-03-2019	669.37
11-03-2019	670.83
08-03-2019	662.19
07-03-2019	658.40
06-03-2019	657.49
05-03-2019	659.07
04-03-2019	656.57
01-03-2019	651.79
28-02-2019	649.92
27-02-2019	649.80
26-02-2019	649.22
25-02-2019	651.36
22-02-2019	654.33
21-02-2019	654.52
20-02-2019	658.75
19-02-2019	660.82
18-02-2019	663.98
15-02-2019	665.90
14-02-2019	661.60
13-02-2019	660.49
12-02-2019	660.82
11-02-2019	656.46
08-02-2019	654.44
07-02-2019	653.90
06-02-2019	652.78
05-02-2019	653.80
04-02-2019	655.39
01-02-2019	657.81
31-01-2019	666.76
30-01-2019	669.60
29-01-2019	671.29
28-01-2019	667.04
25-01-2019	672.14
24-01-2019	672.41
23-01-2019	672.26
22-01-2019	672.42
21-01-2019	670.10
18-01-2019	671.37
17-01-2019	672.73
16-01-2019	673.76
15-01-2019	674.95
14-01-2019	675.15
11-01-2019	677.58
10-01-2019	678.09
09-01-2019	680.10
08-01-2019	679.69
07-01-2019	688.42
04-01-2019	697.64
03-01-2019	697.09
02-01-2019	694.77
28-12-2018	695.69
27-12-2018	693.78
26-12-2018	692.69
24-12-2018	691.87
21-12-2018	688.11
20-12-2018	688.46
19-12-2018	688.53
18-12-2018	685.13
17-12-2018	686.44
14-12-2018	681.17
13-12-2018	678.77
12-12-2018	679.90
11-12-2018	677.00
10-12-2018	674.04
07-12-2018	677.78
06-12-2018	671.79
05-12-2018	669.02
04-12-2018	666.49
03-12-2018	671.09
30-11-2018	669.43
29-11-2018	672.36
28-11-2018	675.97
27-11-2018	675.89
26-11-2018	673.31
23-11-2018	667.46
22-11-2018	669.45
21-11-2018	671.35
20-11-2018	670.05
19-11-2018	672.41
16-11-2018	678.49
15-11-2018	687.00
14-11-2018	688.76
13-11-2018	685.46
12-11-2018	681.41
09-11-2018	675.94
08-11-2018	676.13
07-11-2018	680.03
06-11-2018	682.78
05-11-2018	698.56
31-10-2018	693.31
30-10-2018	687.90
29-10-2018	690.01
26-10-2018	687.48
25-10-2018	686.88
24-10-2018	685.09
23-10-2018	680.21
22-10-2018	676.89
19-10-2018	674.68
18-10-2018	670.08
17-10-2018	670.45
16-10-2018	678.21
12-10-2018	683.70
11-10-2018	683.57
10-10-2018	683.49
09-10-2018	680.67
08-10-2018	672.60
05-10-2018	670.40
04-10-2018	659.30
03-10-2018	658.91
02-10-2018	656.25
01-10-2018	660.42
28-09-2018	661.50
27-09-2018	663.90
26-09-2018	670.84
25-09-2018	667.17
24-09-2018	666.44
21-09-2018	673.74
20-09-2018	684.86
14-09-2018	682.79
13-09-2018	691.06
12-09-2018	698.43
11-09-2018	692.62
10-09-2018	688.44
07-09-2018	684.97
06-09-2018	691.05
05-09-2018	693.13
04-09-2018	684.13
03-09-2018	680.48
31-08-2018	675.38
30-08-2018	666.81
29-08-2018	658.45
28-08-2018	656.81
27-08-2018	662.64
24-08-2018	665.58
23-08-2018	660.67
22-08-2018	665.02
21-08-2018	669.82
20-08-2018	668.44
17-08-2018	666.13
16-08-2018	661.75
14-08-2018	658.70
13-08-2018	653.98
10-08-2018	645.95
09-08-2018	644.10
08-08-2018	642.11
07-08-2018	646.78
06-08-2018	643.83
03-08-2018	644.32
02-08-2018	641.05
01-08-2018	639.20
31-07-2018	638.79
30-07-2018	643.19
27-07-2018	648.40
26-07-2018	649.14
25-07-2018	655.72
24-07-2018	662.43
23-07-2018	659.09
20-07-2018	661.71
19-07-2018	655.52
18-07-2018	653.89
17-07-2018	648.59
13-07-2018	648.05
12-07-2018	652.37
11-07-2018	650.43
10-07-2018	651.74
09-07-2018	657.33
06-07-2018	655.29
05-07-2018	653.20
04-07-2018	652.05
03-07-2018	651.21
29-06-2018	647.95
28-06-2018	645.87
27-06-2018	640.21
26-06-2018	639.38
25-06-2018	637.45
22-06-2018	640.69
21-06-2018	639.03
20-06-2018	641.51
19-06-2018	637.35
18-06-2018	636.35
15-06-2018	633.99
14-06-2018	634.57
13-06-2018	634.17
12-06-2018	632.81
11-06-2018	630.45
08-06-2018	630.63
07-06-2018	629.21
06-06-2018	633.92
05-06-2018	630.38
04-06-2018	631.86
01-06-2018	631.29
31-05-2018	628.33
30-05-2018	627.52
29-05-2018	624.39
28-05-2018	625.29
25-05-2018	624.31
24-05-2018	625.01
23-05-2018	627.17
22-05-2018	637.03
18-05-2018	632.36
17-05-2018	630.89
16-05-2018	632.73
15-05-2018	622.94
14-05-2018	618.50
11-05-2018	626.82
10-05-2018	632.92
09-05-2018	636.00
08-05-2018	627.08
07-05-2018	621.36
04-05-2018	619.18
03-05-2018	617.69
02-05-2018	610.98
30-04-2018	605.74
27-04-2018	603.31
26-04-2018	603.16
25-04-2018	599.87
24-04-2018	600.58
23-04-2018	596.26
20-04-2018	594.42
19-04-2018	594.41
18-04-2018	595.82
17-04-2018	595.99
16-04-2018	595.45
13-04-2018	596.96
12-04-2018	599.20
11-04-2018	601.99
10-04-2018	604.54
09-04-2018	605.17
06-04-2018	602.71
05-04-2018	604.81
04-04-2018	603.66
03-04-2018	604.06
02-04-2018	603.39
29-03-2018	605.26
28-03-2018	605.65
27-03-2018	606.07
26-03-2018	608.14
23-03-2018	607.76
22-03-2018	607.23
21-03-2018	609.58
20-03-2018	609.39
19-03-2018	607.60
16-03-2018	603.54
15-03-2018	601.16
14-03-2018	602.19
13-03-2018	603.85
12-03-2018	603.56
09-03-2018	605.22
08-03-2018	601.91
07-03-2018	595.93
06-03-2018	600.51
05-03-2018	598.04
02-03-2018	596.15
01-03-2018	593.61
28-02-2018	589.15
27-02-2018	588.28
26-02-2018	591.56
23-02-2018	594.73
22-02-2018	594.70
21-02-2018	595.63
20-02-2018	594.58
19-02-2018	593.15
16-02-2018	592.66
15-02-2018	596.66
14-02-2018	596.99
13-02-2018	600.35
12-02-2018	603.07
09-02-2018	600.74
08-02-2018	596.53
07-02-2018	601.23
06-02-2018	603.07
05-02-2018	601.26
02-02-2018	599.19
01-02-2018	603.25
31-01-2018	604.42
30-01-2018	604.63
29-01-2018	600.37
26-01-2018	599.33
25-01-2018	604.12
24-01-2018	608.15
23-01-2018	606.28
22-01-2018	606.55
19-01-2018	605.45
18-01-2018	604.99
17-01-2018	601.69
16-01-2018	601.69
15-01-2018	604.09
12-01-2018	608.04
11-01-2018	609.17
10-01-2018	607.25
09-01-2018	606.29
08-01-2018	606.04
05-01-2018	604.00
04-01-2018	604.84
03-01-2018	609.49
02-01-2018	614.75
29-12-2017	615.22
28-12-2017	616.58
27-12-2017	619.03
26-12-2017	622.11
22-12-2017	620.54
21-12-2017	620.58
20-12-2017	620.62
19-12-2017	622.86
18-12-2017	638.37
15-12-2017	641.05
14-12-2017	649.40
13-12-2017	655.74
12-12-2017	655.53
11-12-2017	655.27
07-12-2017	653.82
06-12-2017	652.52
05-12-2017	648.21
04-12-2017	648.78
01-12-2017	645.32
30-11-2017	642.41
29-11-2017	641.09
28-11-2017	635.80
27-11-2017	633.66
24-11-2017	634.23
23-11-2017	634.82
22-11-2017	635.72
21-11-2017	636.71
20-11-2017	629.21
17-11-2017	630.41
16-11-2017	631.90
15-11-2017	630.59
14-11-2017	632.43
13-11-2017	630.61
10-11-2017	631.46
09-11-2017	631.80
08-11-2017	633.72
07-11-2017	632.97
06-11-2017	630.81
03-11-2017	631.97
02-11-2017	636.80
31-10-2017	636.49
30-10-2017	629.62
26-10-2017	631.12
25-10-2017	631.96
24-10-2017	630.97
23-10-2017	628.68
20-10-2017	625.55
19-10-2017	625.03
18-10-2017	622.07
17-10-2017	619.68
16-10-2017	622.13
13-10-2017	624.99
12-10-2017	626.77
11-10-2017	628.80
10-10-2017	633.32
06-10-2017	628.84
05-10-2017	630.67
04-10-2017	635.79
03-10-2017	640.52
02-10-2017	637.93
29-09-2017	636.85
28-09-2017	638.28
27-09-2017	633.37
26-09-2017	628.37
25-09-2017	623.85
22-09-2017	623.94
21-09-2017	621.87
20-09-2017	625.53
15-09-2017	627.26
14-09-2017	626.12
13-09-2017	624.31
12-09-2017	621.69
11-09-2017	618.36
08-09-2017	615.58
07-09-2017	620.59
06-09-2017	621.55
05-09-2017	624.68
04-09-2017	624.20
01-09-2017	628.89
31-08-2017	628.36
30-08-2017	626.68
29-08-2017	630.33
28-08-2017	636.61
25-08-2017	638.64
24-08-2017	641.47
23-08-2017	641.47
22-08-2017	642.73
21-08-2017	646.57
18-08-2017	645.29
17-08-2017	645.86
16-08-2017	647.59
14-08-2017	647.77
11-08-2017	647.42
10-08-2017	649.50
09-08-2017	649.53
08-08-2017	650.52
07-08-2017	649.88
04-08-2017	650.17
03-08-2017	652.77
02-08-2017	651.93
01-08-2017	652.23
31-07-2017	651.58
28-07-2017	647.99
