Fecha	Valor
21-02-2018	595.63
20-02-2018	594.58
19-02-2018	593.15
16-02-2018	592.66
15-02-2018	596.66
14-02-2018	596.99
13-02-2018	600.35
12-02-2018	603.07
09-02-2018	600.74
08-02-2018	596.53
07-02-2018	601.23
06-02-2018	603.07
05-02-2018	601.26
02-02-2018	599.19
01-02-2018	603.25
31-01-2018	604.42
30-01-2018	604.63
29-01-2018	600.37
26-01-2018	599.33
25-01-2018	604.12
24-01-2018	608.15
23-01-2018	606.28
22-01-2018	606.55
19-01-2018	605.45
18-01-2018	604.99
17-01-2018	601.69
16-01-2018	601.69
15-01-2018	604.09
12-01-2018	608.04
11-01-2018	609.17
10-01-2018	607.25
09-01-2018	606.29
08-01-2018	606.04
05-01-2018	604.00
04-01-2018	604.84
03-01-2018	609.49
02-01-2018	614.75
29-12-2017	615.22
28-12-2017	616.58
27-12-2017	619.03
26-12-2017	622.11
22-12-2017	620.54
21-12-2017	620.58
20-12-2017	620.62
19-12-2017	622.86
18-12-2017	638.37
15-12-2017	641.05
14-12-2017	649.4
13-12-2017	655.74
12-12-2017	655.53
11-12-2017	655.27
07-12-2017	653.82
06-12-2017	652.52
05-12-2017	648.21
04-12-2017	648.78
01-12-2017	645.32
30-11-2017	642.41
29-11-2017	641.09
28-11-2017	635.8
27-11-2017	633.66
24-11-2017	634.23
23-11-2017	634.82
22-11-2017	635.72
21-11-2017	636.71
20-11-2017	629.21
17-11-2017	630.41
16-11-2017	631.9
15-11-2017	630.59
14-11-2017	632.43
13-11-2017	630.61
10-11-2017	631.46
09-11-2017	631.8
08-11-2017	633.72
07-11-2017	632.97
06-11-2017	630.81
03-11-2017	631.97
02-11-2017	636.8
31-10-2017	636.49
30-10-2017	629.62
26-10-2017	631.12
25-10-2017	631.96
24-10-2017	630.97
23-10-2017	628.68
20-10-2017	625.55
19-10-2017	625.03
18-10-2017	622.07
17-10-2017	619.68
16-10-2017	622.13
13-10-2017	624.99
12-10-2017	626.77
11-10-2017	628.8
10-10-2017	633.32
06-10-2017	628.84
05-10-2017	630.67
04-10-2017	635.79
03-10-2017	640.52
02-10-2017	637.93
29-09-2017	636.85
28-09-2017	638.28
27-09-2017	633.37
26-09-2017	628.37
25-09-2017	623.85
22-09-2017	623.94
21-09-2017	621.87
20-09-2017	625.53
15-09-2017	627.26
14-09-2017	626.12
13-09-2017	624.31
12-09-2017	621.69
11-09-2017	618.36
08-09-2017	615.58
07-09-2017	620.59
06-09-2017	621.55
05-09-2017	624.68
04-09-2017	624.2
01-09-2017	628.89
31-08-2017	628.36
30-08-2017	626.68
29-08-2017	630.33
28-08-2017	636.61
