"","cste","Haar0.01","Haar0.02","Haar0.03","Haar0.04","Haar0.05","Haar0.06","Haar0.07","Haar0.08","Haar0.09","Haar0.1","Haar0.11","Haar0.12","Haar0.13","Haar0.14","Haar0.15","Haar0.16","Haar0.17","Haar0.18","Haar0.19","Haar0.2","Haar0.21","Haar0.22","Haar0.23","Haar0.24","Haar0.25","Haar0.26","Haar0.27","Haar0.28","Haar0.29","Haar0.3","Haar0.31","Haar0.32","Haar0.33","Haar0.34","Haar0.35","Haar0.36","Haar0.37","Haar0.38","Haar0.39","Haar0.4","Haar0.41","Haar0.42","Haar0.43","Haar0.44","Haar0.45","Haar0.46","Haar0.47","Haar0.48","Haar0.49","Haar0.5","Haar0.51","Haar0.52","Haar0.53","Haar0.54","Haar0.55","Haar0.56","Haar0.57","Haar0.58","Haar0.59","Haar0.6","Haar0.61","Haar0.62","Haar0.63","Haar0.64","Haar0.65","Haar0.66","Haar0.67","Haar0.68","Haar0.69","Haar0.7","Haar0.71","Haar0.72","Haar0.73","Haar0.74","Haar0.75","Haar0.76","Haar0.77","Haar0.78","Haar0.79","Haar0.8","Haar0.81","Haar0.82","Haar0.83","Haar0.84","Haar0.85","Haar0.86","Haar0.87","Haar0.88","Haar0.89","Haar0.9","Haar0.91","Haar0.92","Haar0.93","Haar0.94","Haar0.95","Haar0.96","Haar0.97","Haar0.98","Haar0.99","Haar1","sin(2pi*1posx)","cos(2pi1posx)","sin(2pi*2posx)","cos(2pi2posx)","sin(2pi*3posx)","cos(2pi3posx)","sin(2pi*4posx)","cos(2pi4posx)","sin(2pi*5posx)","cos(2pi5posx)","sin(2pi*6posx)","cos(2pi6posx)","sin(2pi*7posx)","cos(2pi7posx)","sin(2pi*8posx)","cos(2pi8posx)","sin(2pi*9posx)","cos(2pi9posx)","sin(2pi*10posx)","cos(2pi10posx)","x","xx"
"11",1,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63742398974869,0.770513242775789,0.982287250728689,0.187381314585725,0.876306680043864,-0.481753674101715,0.368124552684678,-0.929776485888251,-0.309016994374947,-0.951056516295154,-0.844327925502015,-0.535826794978997,-0.992114701314478,0.125333233564304,-0.684547105928689,0.728968627421411,-0.0627905195293133,0.998026728428272,0.587785252292473,0.809016994374948,0.11,0.0121
"12",1,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684547105928689,0.728968627421412,0.998026728428272,0.0627905195293135,0.770513242775789,-0.63742398974869,0.125333233564305,-0.992114701314478,-0.587785252292473,-0.809016994374947,-0.982287250728689,-0.187381314585725,-0.844327925502016,0.535826794978996,-0.248689887164855,0.968583161128631,0.481753674101715,0.876306680043864,0.951056516295153,0.309016994374948,0.12,0.0144
"13",1,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.728968627421412,0.684547105928689,0.998026728428272,-0.0627905195293134,0.63742398974869,-0.770513242775789,-0.125333233564304,-0.992114701314478,-0.809016994374947,-0.587785252292473,-0.982287250728689,0.187381314585724,-0.535826794978996,0.844327925502015,0.248689887164855,0.968583161128631,0.876306680043863,0.481753674101715,0.951056516295154,-0.309016994374947,0.13,0.0169
"14",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770513242775789,0.63742398974869,0.982287250728689,-0.187381314585725,0.481753674101715,-0.876306680043864,-0.368124552684678,-0.929776485888251,-0.951056516295154,-0.309016994374948,-0.844327925502015,0.535826794978997,-0.125333233564304,0.992114701314478,0.684547105928689,0.728968627421411,0.998026728428272,-0.0627905195293136,0.587785252292473,-0.809016994374947,0.14,0.0196
"15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.809016994374947,0.587785252292473,0.951056516295154,-0.309016994374947,0.309016994374948,-0.951056516295154,-0.587785252292473,-0.809016994374947,-1,-1.83697019872103e-16,-0.587785252292473,0.809016994374947,0.309016994374947,0.951056516295154,0.951056516295153,0.309016994374948,0.809016994374948,-0.587785252292473,3.67394039744206e-16,-1,0.15,0.0225
"16",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.844327925502015,0.535826794978997,0.904827052466019,-0.425779291565073,0.125333233564304,-0.992114701314478,-0.770513242775789,-0.63742398974869,-0.951056516295154,0.309016994374947,-0.248689887164854,0.968583161128631,0.684547105928689,0.728968627421412,0.982287250728689,-0.187381314585725,0.368124552684678,-0.929776485888251,-0.587785252292473,-0.809016994374948,0.16,0.0256
"17",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876306680043864,0.481753674101715,0.844327925502015,-0.535826794978997,-0.0627905195293133,-0.998026728428272,-0.90482705246602,-0.425779291565072,-0.809016994374948,0.587785252292473,0.125333233564304,0.992114701314478,0.929776485888251,0.368124552684678,0.770513242775789,-0.637423989748691,-0.187381314585725,-0.982287250728689,-0.951056516295153,-0.309016994374948,0.17,0.0289
"18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90482705246602,0.425779291565073,0.770513242775789,-0.63742398974869,-0.248689887164855,-0.968583161128631,-0.982287250728689,-0.187381314585725,-0.587785252292473,0.809016994374947,0.481753674101715,0.876306680043864,0.998026728428272,-0.0627905195293127,0.368124552684678,-0.929776485888251,-0.684547105928688,-0.728968627421412,-0.951056516295154,0.309016994374947,0.18,0.0324
"19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929776485888251,0.368124552684678,0.684547105928689,-0.728968627421411,-0.425779291565073,-0.904827052466019,-0.998026728428272,0.0627905195293128,-0.309016994374948,0.951056516295154,0.770513242775789,0.63742398974869,0.876306680043863,-0.481753674101716,-0.125333233564303,-0.992114701314478,-0.968583161128631,-0.248689887164856,-0.587785252292473,0.809016994374947,0.19,0.0361
"20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707106781186547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951056516295154,0.309016994374947,0.587785252292473,-0.809016994374947,-0.587785252292473,-0.809016994374947,-0.951056516295154,0.309016994374947,-2.44929359829471e-16,1,0.951056516295153,0.309016994374948,0.587785252292473,-0.809016994374947,-0.587785252292473,-0.809016994374948,-0.951056516295154,0.309016994374947,-4.89858719658941e-16,1,0.2,0.04
